fecha_jornada;jornada;partido;equipo_local;marcador_local;equipo_visitante;marcador_visitante;resultado
domingo 14 de octubre de 2018;12;11;Irlanda;0;Dinamarca;0;X
domingo 14 de octubre de 2018;12;12;Rumania;0;Serbia;0;X
domingo 14 de octubre de 2018;12;7;Granada;1;Mallorca;0;1
domingo 14 de octubre de 2018;12;14;Polonia;0;Italia;1;2
domingo 14 de octubre de 2018;12;13;Rusia;2;Turquia;0;1
domingo 14 de octubre de 2018;12;15;Sporting de Gijón;1;Reus Deport.;1;11
miércoles 3 de octubre de 2018;10;11;PSV;1;Inter;2;2
domingo 25 de noviembre de 2018;22;1;Eibar;3;Real Madrid;0;1
domingo 25 de noviembre de 2018;22;3;Atlético de Madrid;0;Barcelona;0;X
domingo 25 de noviembre de 2018;22;2;Huesca;2;Levante;2;X
domingo 25 de noviembre de 2018;22;5;Sevilla;1;Valladolid;0;1
domingo 25 de noviembre de 2018;22;4;Athletic de Bilbao;1;Getafe;1;X
domingo 25 de noviembre de 2018;22;6;Espanyol;1;Girona;3;2
domingo 25 de noviembre de 2018;22;7;Villarreal;2;Betis;1;1
domingo 25 de noviembre de 2018;22;8;C. Gimnastic;2;Almería;2;X
domingo 25 de noviembre de 2018;22;9;Deportivo;2;Osasuna;0;1
domingo 25 de noviembre de 2018;22;13;Elche;0;Albacete;1;2
domingo 25 de noviembre de 2018;22;12;Extremadura;1;Málaga;0;1
domingo 25 de noviembre de 2018;22;14;Alcorcón;2;R. Zaragoza;0;1
miércoles 7 de noviembre de 2018;19;1;Estrella Roja;2;Liverpool;0;1
domingo 25 de noviembre de 2018;22;15;Valencia;3;Rayo Vallecano;0;M0
miércoles 7 de noviembre de 2018;19;2;Mónaco;0;Club Brugge;4;2
miércoles 7 de noviembre de 2018;19;3;Atlético de Madrid;2;B. Dortmund;0;1
miércoles 7 de noviembre de 2018;19;4;Inter;1;Barcelona;1;X
domingo 25 de noviembre de 2018;22;11;Mallorca;1;Numancia;0;1
miércoles 7 de noviembre de 2018;19;6;Schalke;2;Galatasaray;0;1
